label,clause,tp,fp,fn,tn,precision,recall,f1,accuracy,support_positive_gt,support_positive_pred
glm46v_flash,distinct,0,1,5,44,0.0,0.0,,0.88,5,1
glm46v_flash,from,35,0,15,0,1.0,0.7,0.8235294117647058,0.7,50,35
glm46v_flash,group_by,1,0,12,37,1.0,0.07692307692307693,0.14285714285714288,0.76,13,1
glm46v_flash,having,0,0,2,48,,0.0,,0.96,2,0
glm46v_flash,join,2,3,10,35,0.4,0.16666666666666666,0.23529411764705882,0.74,12,5
glm46v_flash,order_by,11,4,7,28,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.78,18,15
glm46v_flash,select,50,0,0,0,1.0,1.0,1.0,1.0,50,50
glm46v_flash,top,0,0,9,41,,0.0,,0.82,9,0
glm46v_flash,where,14,19,0,17,0.42424242424242425,1.0,0.5957446808510638,0.62,14,33
claude_opus_4_1,distinct,3,14,2,31,0.17647058823529413,0.6,0.2727272727272727,0.68,5,17
claude_opus_4_1,from,49,0,1,0,1.0,0.98,0.98989898989899,0.98,50,49
claude_opus_4_1,group_by,13,0,0,37,1.0,1.0,1.0,1.0,13,13
claude_opus_4_1,having,2,2,0,46,0.5,1.0,0.6666666666666666,0.96,2,4
claude_opus_4_1,join,5,2,7,36,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.82,12,7
claude_opus_4_1,order_by,18,0,0,32,1.0,1.0,1.0,1.0,18,18
claude_opus_4_1,select,50,0,0,0,1.0,1.0,1.0,1.0,50,50
claude_opus_4_1,top,5,0,4,41,1.0,0.5555555555555556,0.7142857142857143,0.92,9,5
claude_opus_4_1,where,13,0,1,36,1.0,0.9285714285714286,0.962962962962963,0.98,14,13
gpt_5-3_codex,distinct,3,3,2,42,0.5,0.6,0.5454545454545454,0.9,5,6
gpt_5-3_codex,from,50,0,0,0,1.0,1.0,1.0,1.0,50,50
gpt_5-3_codex,group_by,12,0,1,37,1.0,0.9230769230769231,0.9600000000000001,0.98,13,12
gpt_5-3_codex,having,2,2,0,46,0.5,1.0,0.6666666666666666,0.96,2,4
gpt_5-3_codex,join,6,2,6,36,0.75,0.5,0.6,0.84,12,8
gpt_5-3_codex,order_by,16,0,2,32,1.0,0.8888888888888888,0.9411764705882353,0.96,18,16
gpt_5-3_codex,select,50,0,0,0,1.0,1.0,1.0,1.0,50,50
gpt_5-3_codex,top,5,0,4,41,1.0,0.5555555555555556,0.7142857142857143,0.92,9,5
gpt_5-3_codex,where,13,0,1,36,1.0,0.9285714285714286,0.962962962962963,0.98,14,13
